Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.3475944,2604.0,235.77899580448866,235.77899580448866,1.0
20000,1.4189384,-0.5061418,2143.8571428571427,50.86397081314187,50.86397081314187,1.0
30000,1.4180763,-0.4393623,1729.0,0.6540001034736633,0.6540001034736633,1.0
40000,1.4180152,-0.46306708,3167.75,-0.4211998317623511,-0.4211998317623511,1.0
50000,1.4165019,-0.5056378,1539.0,0.3720401033759117,0.3720401033759117,1.0
60000,1.416333,-0.4650565,2702.3333333333335,-0.20719986971622953,-0.20719986971622953,1.0
70000,1.4158318,-0.2762034,4870.0,-1.2573330776843552,-1.2573330776843552,1.0
80000,1.4157346,-0.28378454,3335.0,-1.216999851167202,-1.216999851167202,1.0
90000,1.4140787,-0.33056673,3682.5,-0.7240498077590019,-0.7240498077590019,1.0
100000,1.413624,-0.23128483,4998.5,-0.9996997567941435,-0.9996997567941435,1.0
110000,1.4133605,-0.2154711,3646.0,-1.6792998008895665,-1.6792998008895665,1.0
120000,1.413266,-0.16295837,4162.666666666667,-1.4492664601032932,-1.4492664601032932,1.0
130000,1.4128242,-0.10475216,4998.5,-0.9996997567941435,-0.9996997567941435,1.0
140000,1.4125998,-0.09781871,4999.0,-3.6497997702099383,-3.6497997702099383,1.0
150000,1.4124844,-0.14244358,2757.1666666666665,-0.518199854142343,-0.518199854142343,1.0
160000,1.4124113,-0.111981526,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
170000,1.4125863,-0.07562216,4934.333333333333,-1.6202664059043552,-1.6202664059043552,1.0
180000,1.4127272,-0.07329278,4999.0,-2.3497997359372675,-2.3497997359372675,1.0
190000,1.412497,-0.06568878,3581.5,-0.21639981964835897,-0.21639981964835897,1.0
200000,1.4122587,-0.054567862,4999.0,-2.374799753073603,-2.374799753073603,1.0
210000,1.4112236,-0.065765075,3332.3333333333335,-1.2165331370585288,-1.2165331370585288,1.0
220000,1.4099566,-0.06664972,4995.5,-0.49919973040232435,-0.49919973040232435,1.0
230000,1.4094689,-0.11739349,4463.0,-1.5593331160101418,-1.5593331160101418,1.0
240000,1.4087149,-0.0881963,4999.0,-3.7497997344471514,-3.7497997344471514,1.0
250000,1.4087392,-0.09322605,4998.5,-0.9996997567941435,-0.9996997567941435,1.0
260000,1.4087868,-0.06174113,4420.0,-1.4840664387059708,-1.4840664387059708,1.0
270000,1.4084597,-0.051775783,4998.5,-2.599699750833679,-2.599699750833679,1.0
280000,1.4076556,-0.07647079,4491.0,-1.3731998011935502,-1.3731998011935502,1.0
290000,1.4069768,-0.0856096,3649.6666666666665,-0.39666647370904684,-0.39666647370904684,1.0
300000,1.404857,-0.064182244,4999.0,-2.424799653934315,-2.424799653934315,1.0
310000,1.4044963,-0.05074482,4998.5,-2.2496997344424017,-2.2496997344424017,1.0
320000,1.4028664,-0.0703497,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
330000,1.4027227,-0.08426555,4999.0,-1.9997997120954096,-1.9997997120954096,1.0
340000,1.4017938,-0.048980426,4999.0,-2.299799731466919,-2.299799731466919,1.0
350000,1.4017614,-0.048359104,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
360000,1.4013519,-0.047553092,4885.0,-1.6769997731316835,-1.6769997731316835,1.0
370000,1.4013499,-0.056254346,4999.0,-2.2747997329570353,-2.2747997329570353,1.0
380000,1.4012777,-0.05040289,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
390000,1.4012777,-0.015925016,4999.0,-2.0497997202910483,-2.0497997202910483,1.0
400000,1.4023817,-0.024315104,4999.0,-2.024799755308777,-2.024799755308777,1.0
410000,1.402395,0.0015967377,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
420000,1.4019421,-0.032277837,4544.5,-1.5339997590053827,-1.5339997590053827,1.0
430000,1.4019035,-0.031507324,4999.0,-2.099799728486687,-2.099799728486687,1.0
440000,1.4024692,-0.0017241702,4998.5,-0.9996997567941435,-0.9996997567941435,1.0
450000,1.4025575,0.010430853,4413.0,-1.4076997332740575,-1.4076997332740575,1.0
460000,1.4026515,0.03696044,4804.333333333333,-1.4275997134003167,-1.4275997134003167,1.0
470000,1.4026719,0.026951909,4249.0,-0.34989976609358564,-0.34989976609358564,1.0
480000,1.4017864,-0.0033746227,4999.0,-2.9497997076250613,-2.9497997076250613,1.0
490000,1.4014962,0.0005996296,4998.666666666667,-1.7830663817391421,-1.7830663817391421,1.0
500000,1.3999459,0.024580868,4999.0,-0.9997997567988932,-0.9997997567988932,1.0
510000,1.3993284,-0.0010755822,2443.0,-0.5887331659905612,-0.5887331659905612,1.0
520000,1.3987911,0.008530836,3444.5,-0.8264998004306108,-0.8264998004306108,1.0
530000,1.3985213,0.0034691545,3826.0,-0.26529979635961354,-0.26529979635961354,1.0
540000,1.397299,-0.003958918,4998.5,-2.1246997716953047,-2.1246997716953047,1.0
550000,1.3964754,-0.004903035,4656.666666666667,-1.2980664412801464,-1.2980664412801464,1.0
560000,1.3959669,-0.008209171,2444.6666666666665,0.17760012345388532,0.17760012345388532,1.0
570000,1.3955764,-0.0010443163,4671.5,-1.7593996927607805,-1.7593996927607805,1.0
580000,1.3945549,-0.005063436,4725.0,-1.5949997373390943,-1.5949997373390943,1.0
590000,1.3934728,0.0027262133,3342.0,-0.21849983523134142,-0.21849983523134142,1.0
600000,1.3932141,-0.003583198,2403.5,-0.0807998739182949,-0.0807998739182949,1.0
610000,1.3928796,0.028877381,3093.4,-0.7586798383155837,-0.7586798383155837,1.0
620000,1.3925083,0.017411139,3973.0,-0.9945997737813741,-0.9945997737813741,1.0
630000,1.3918741,0.0037605884,2195.25,-0.026599889271892607,-0.026599889271892607,1.0
640000,1.3919564,0.019484568,4694.5,-1.5388997860718518,-1.5388997860718518,1.0
650000,1.39213,-0.0004459375,2863.2,-0.1627198399277404,-0.1627198399277404,1.0
660000,1.3920686,0.009199615,2086.0,-0.017299877479672432,-0.017299877479672432,1.0
670000,1.3918782,-0.007113158,1773.0,0.5828001108020544,0.5828001108020544,1.0
680000,1.3918207,0.0047746673,1784.857142857143,0.3214858355266707,0.3214858355266707,1.0
690000,1.391569,0.0108758975,2036.5,0.14260011352598667,0.14260011352598667,1.0
700000,1.3915273,-0.002014534,1438.4285714285713,0.3907429541161816,0.3907429541161816,1.0
710000,1.3912449,0.014262031,1996.4,-0.11931988270953298,-0.11931988270953298,1.0
720000,1.3911654,0.025664037,4247.5,-1.224499733245466,-1.224499733245466,1.0
730000,1.3899901,-0.0021622092,2739.3333333333335,0.11866681821023424,0.11866681821023424,1.0
740000,1.3899431,0.027037915,1496.8333333333333,0.2547167590431248,0.2547167590431248,1.0
750000,1.3879007,0.031239735,359.8333333333333,0.83903336028258,0.83903336028258,1.0
760000,1.3879007,0.00402998,1082.2222222222222,0.5778667307458818,0.5778667307458818,1.0
770000,1.3893183,0.05375086,1127.7272727272727,0.5425091603855517,0.5425091603855517,1.0
780000,1.3893912,0.030859323,438.42857142857144,0.912114326442991,0.912114326442991,1.0
790000,1.3902118,0.055517104,1101.6666666666667,0.35866675425010425,0.35866675425010425,1.0
800000,1.39029,0.06924987,4999.0,-2.549799705389887,-2.549799705389887,1.0
810000,1.3904717,0.042262673,4998.0,-0.9995997567893937,-0.9995997567893937,1.0
820000,1.3905066,0.041360788,3804.0,-1.1857997932238504,-1.1857997932238504,1.0
830000,1.3897208,0.051930774,1050.3333333333333,0.3856000710123529,0.3856000710123529,1.0
840000,1.3895148,0.06480416,None,None,None,1.0
850000,1.3892252,0.059515063,4998.666666666667,-2.099733089135649,-2.099733089135649,1.0
860000,1.3891201,0.055333655,4999.0,-2.133133107020209,-2.133133107020209,1.0
